CODICE ATECO 2025;PREFLABEL_IT;PREFLABEL_EN;PREFLABEL_DE
30.13.0;Costruzione di navi e imbarcazioni per scopi militari;Building of military ships and vessels;Bau von Kriegsschiffen
30.13.00;Costruzione di navi e imbarcazioni per scopi militari;Building of military ships and vessels;Bau von Kriegsschiffen
30.2;Costruzione di locomotive e di materiale rotabile ferro-tranviario;Manufacture of railway locomotives and rolling stock;Schienenfahrzeugbau
30.20;Costruzione di locomotive e di materiale rotabile ferro-tranviario;Manufacture of railway locomotives and rolling stock;Schienenfahrzeugbau
30.20.0;Costruzione di locomotive e di materiale rotabile ferro-tranviario;Manufacture of railway locomotives and rolling stock;Schienenfahrzeugbau
30.20.00;Costruzione di locomotive e di materiale rotabile ferro-tranviario;Manufacture of railway locomotives and rolling stock;Schienenfahrzeugbau
30.3;Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti;Manufacture of air and spacecraft and related machinery;Luft- und Raumfahrzeugbau
30.31;Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi civili;Manufacture of civilian air and spacecraft and related machinery;Luft- und Raumfahrzeugbau für zivile Zwecke
30.31.0;Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi civili;Manufacture of civilian air and spacecraft and related machinery;Luft- und Raumfahrzeugbau für zivile Zwecke
30.31.00;Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi civili;Manufacture of civilian air and spacecraft and related machinery;Luft- und Raumfahrzeugbau für zivile Zwecke
30.32;Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi militari;Manufacture of military air and spacecraft and related machinery;Luft- und Raumfahrzeugbau für militärische Zwecke
30.32.0;Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi militari;Manufacture of military air and spacecraft and related machinery;Luft- und Raumfahrzeugbau für militärische Zwecke
30.32.00;Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi militari;Manufacture of military air and spacecraft and related machinery;Luft- und Raumfahrzeugbau für militärische Zwecke
30.4;Fabbricazione di veicoli militari da combattimento;Manufacture of military fighting vehicles;Herstellung von militärischen Kampffahrzeugen
30.40;Fabbricazione di veicoli militari da combattimento;Manufacture of military fighting vehicles;Herstellung von militärischen Kampffahrzeugen
30.40.0;Fabbricazione di veicoli militari da combattimento;Manufacture of military fighting vehicles;Herstellung von militärischen Kampffahrzeugen
30.40.00;Fabbricazione di veicoli militari da combattimento;Manufacture of military fighting vehicles;Herstellung von militärischen Kampffahrzeugen
30.9;Fabbricazione di mezzi di trasporto n.c.a.;Manufacture of transport equipment n.e.c.;Herstellung von Beförderungsmitteln a. n. g.
30.91;Fabbricazione di motocicli;Manufacture of motorcycles;Herstellung von Krafträdern
30.91.1;Fabbricazione di motocicli, escluse parti e accessori;Manufacture of motorcycles, other than parts and accessories;Herstellung von Krafträdern, ohne Teile und Zubehör
30.91.11;Fabbricazione di motori per motocicli;Manufacture of engines for motorcycles;Herstellung von Motoren für Krafträder
30.91.12;Fabbricazione di motocicli, esclusi motori;Manufacture of motorcycles, other than engines;Herstellung von Krafträdern, ohne Motoren
30.91.2;Fabbricazione di parti e accessori per motocicli;Manufacture of parts and accessories for motorcycles;Herstellung von Teilen und Zubehör für Krafträder
30.91.20;Fabbricazione di parti e accessori per motocicli;Manufacture of parts and accessories for motorcycles;Herstellung von Teilen und Zubehör für Krafträder
30.92;Fabbricazione di biciclette e veicoli per disabili;Manufacture of bicycles and invalid carriages;Herstellung von Fahrrädern sowie von Behindertenfahrzeugen
30.92.1;Fabbricazione di biciclette, escluse parti e accessori;Manufacture of bicycles, other than parts and accessories;Herstellung von Fahrrädern, ohne Teile und Zubehör
30.92.10;Fabbricazione di biciclette, escluse parti e accessori;Manufacture of bicycles, other than parts and accessories;Herstellung von Fahrrädern, ohne Teile und Zubehör
30.92.2;Fabbricazione di parti e accessori per biciclette;Manufacture of parts and accessories for bicycles;Herstellung von Fahrradteilen und -zubehör
30.92.20;Fabbricazione di parti e accessori per biciclette;Manufacture of parts and accessories for bicycles;Herstellung von Fahrradteilen und -zubehör
30.92.3;Fabbricazione di veicoli per disabili;Manufacture of invalid carriages;Herstellung von Fahrzeugen für Personen mit Behinderungen
30.92.30;Fabbricazione di veicoli per disabili;Manufacture of invalid carriages;Herstellung von Fahrzeugen für Personen mit Behinderungen
30.92.4;Fabbricazione di carrozzine e passeggini;Manufacture of baby carriages;Herstellung von Kinderwagen
30.92.40;Fabbricazione di carrozzine e passeggini;Manufacture of baby carriages;Herstellung von Kinderwagen
30.99;Fabbricazione di altri mezzi di trasporto n.c.a.;Manufacture of other transport equipment n.e.c.;Herstellung von sonstigen Beförderungsmitteln a. n. g.
30.99.0;Fabbricazione di altri mezzi di trasporto n.c.a.;Manufacture of other transport equipment n.e.c.;Herstellung von sonstigen Beförderungsmitteln a. n. g.
30.99.00;Fabbricazione di altri mezzi di trasporto n.c.a.;Manufacture of other transport equipment n.e.c.;Herstellung von sonstigen Beförderungsmitteln a. n. g.
31;Fabbricazione di mobili;Manufacture of furniture;Herstellung von Möbeln
31.0;Fabbricazione di mobili;Manufacture of furniture;Herstellung von Möbeln
31.00;Fabbricazione di mobili;Manufacture of furniture;Herstellung von Möbeln
31.00.1;Fabbricazione di mobili per negozi, uffici e altri spazi per collettività;Manufacture of furniture for shops, offices and other similar places;Herstellung von Möbeln für Läden, Büros und andere Gemeinschaftsflächen
31.00.11;Fabbricazione di moduli dedicati al comfort acustico per negozi, uffici e altri spazi per collettività;Manufacture of acoustic absorbing furniture for shops, offices and other similar places;Herstellung von Modulen für den akustischen Komfort für Läden, Büros und andere Gemeinschaftsflächen
31.00.12;Fabbricazione di sedie e poltrone per negozi;Manufacture of chairs and seats for shops;Herstellung von Stühlen und Sesseln für Läden
31.00.13;Fabbricazione di altri mobili per negozi;Manufacture of furniture for shops other than chairs and seats;Herstellung sonstiger Möbel für Läden
31.00.14;Fabbricazione di sedie e poltrone per uffici e altri spazi per collettività;Manufacture of chairs and seats for offices and other similar places;Herstellung von Stühlen und Sesseln für Büros und andere Gemeinschaftsflächen
31.00.15;Fabbricazione di altri mobili per uffici e altri spazi per collettività;Manufacture of furniture for offices and other similar places other than chairs and seats;Herstellung von anderen Möbeln für Büros und sonstige Gemeinschaftsflächen
31.00.2;Fabbricazione di mobili da cucina;Manufacture of kitchen furniture;Herstellung von Küchenmöbeln
31.00.20;Fabbricazione di mobili da cucina;Manufacture of kitchen furniture;Herstellung von Küchenmöbeln
31.00.3;Fabbricazione di altri mobili per la casa;Manufacture of other home furniture;Herstellung von anderen Wohnmöbeln
31.00.31;Fabbricazione di mobili per arredo interno, esclusi mobili da cucina, sedie, divani e prodotti simili;Manufacture of home furniture, excluding kitchen furniture, chairs, sofas and similar products;Herstellung von Möbeln für Innenausstattungen, ohne Küchenmöbel, Stühle, Sofas und ähnliche Produkte
31.00.32;Fabbricazione di mobili per arredo esterno;Manufacture of outdoor furniture;Herstellung von Möbel für den Außenbereich
31.00.33;Fabbricazione di sedie e sedili;Manufacture of chairs and seats;Herstellung von Stühlen und Sitzen
31.00.34;Fabbricazione di divani, divani letto e poltrone;Manufacture of sofas, sofa beds and sofa sets;Herstellung von Polstermöbeln
31.00.35;Fabbricazione di materassi;Manufacture of mattresses;Herstellung von Matratzen
31.00.36;Fabbricazione di parti e accessori di mobili;Manufacture of furniture parts and accessories;Herstellung von Möbelteilen und -zubehör
31.00.37;Finitura di mobili;Finishing of furniture;Möbelveredelung
31.00.39;Fabbricazione di altri mobili n.c.a.;Manufacture of other furniture n.e.c.;Herstellung sonstiger Möbel a. n. g.
32;Altre attività manifatturiere;Other manufacturing;Herstellung von sonstigen Waren
32.1;Fabbricazione di gioielleria, bigiotteria e articoli connessi;Manufacture of jewellery, bijouterie and related articles;Herstellung von Münzen, Schmuck und ähnlichen Erzeugnissen
32.11;Coniazione di monete;Striking of coins;Herstellung von Münzen
32.11.0;Coniazione di monete;Striking of coins;Herstellung von Münzen
32.11.00;Coniazione di monete;Striking of coins;Herstellung von Münzen
32.12;Fabbricazione di gioielli e articoli simili;Manufacture of jewellery and related articles;Herstellung von Schmuck, Gold- und Silberschmiedewaren, ohne Fantasieschmuck
32.12.1;Lavorazione di pietre preziose e semipreziose;Production of precious and semi-precious stones in the worked state;Bearbeitung von Edel- und Halbedelsteinen
32.12.10;Lavorazione di pietre preziose e semipreziose;Production of precious and semi-precious stones in the worked state;Bearbeitung von Edel- und Halbedelsteinen
32.12.2;Fabbricazione di gioielli e articoli di oreficeria in metalli preziosi;Manufacture of jewellery and goldsmiths' articles of precious metals;Herstellung von Schmuck und Goldschmiedewaren aus Edelmetallen
32.12.20;Fabbricazione di gioielli e articoli di oreficeria in metalli preziosi;Manufacture of jewellery and goldsmiths' articles of precious metals;Herstellung von Schmuck und Goldschmiedewaren aus Edelmetallen
32.13;Fabbricazione di bigiotteria e articoli simili;Manufacture of imitation jewellery and related articles;Herstellung von Fantasieschmuck
32.13.0;Fabbricazione di bigiotteria e articoli simili;Manufacture of imitation jewellery and related articles;Herstellung von Fantasieschmuck
32.13.00;Fabbricazione di bigiotteria e articoli simili;Manufacture of imitation jewellery and related articles;Herstellung von Fantasieschmuck
32.2;Fabbricazione di strumenti musicali;Manufacture of musical instruments;Herstellung von Musikinstrumenten
32.20;Fabbricazione di strumenti musicali;Manufacture of musical instruments;Herstellung von Musikinstrumenten
32.20.0;Fabbricazione di strumenti musicali;Manufacture of musical instruments;Herstellung von Musikinstrumenten
32.20.00;Fabbricazione di strumenti musicali;Manufacture of musical instruments;Herstellung von Musikinstrumenten
32.3;Fabbricazione di articoli sportivi;Manufacture of sports goods;Herstellung von Sportgeräten
32.30;Fabbricazione di articoli sportivi;Manufacture of sports goods;Herstellung von Sportgeräten
32.30.0;Fabbricazione di articoli sportivi;Manufacture of sports goods;Herstellung von Sportgeräten
32.30.01;Fabbricazione di attrezzature da palestra, per centri di fitness e per atletica;Manufacture of gymnasium, fitness centre or athletic equipment;Herstellung von Geräten und Ausrüstungen für Turnhallen, Fitnessstudios und Leichtathletik
32.30.09;Fabbricazione di altri articoli sportivi;Manufacture of other sports goods;Herstellung von sonstigen Sportgeräten
32.4;Fabbricazione di giochi e giocattoli;Manufacture of games and toys;Herstellung von Spielwaren
32.40;Fabbricazione di giochi e giocattoli;Manufacture of games and toys;Herstellung von Spielwaren
32.40.1;Fabbricazione di giochi;Manufacture of games;Herstellung von Spielen
32.40.10;Fabbricazione di giochi;Manufacture of games;Herstellung von Spielen
32.40.2;Fabbricazione di giocattoli;Manufacture of toys;Herstellung von Spielzeug
32.40.20;Fabbricazione di giocattoli;Manufacture of toys;Herstellung von Spielzeug
32.5;Fabbricazione di strumenti e forniture mediche e dentistiche;Manufacture of medical and dental instruments and supplies;Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien
32.50;Fabbricazione di strumenti e forniture mediche e dentistiche;Manufacture of medical and dental instruments and supplies;Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien
